class,precision,recall,f1+AC0-score,support
1,0,0,0,119
2,0,0,0,44
3,0,0,0,29
4,0,0,0,193
6,0,0,0,38
8,0.18,0.99,0.31,848
9,0,0,0,130
10,0,0,0,96
11,0,0,0,48
12,0,0,0,69
13,0,0,0,55
14,1,0.24,0.39,343
15,0,0,0,186
16,0,0,0,16
17,0,0,0,85
18,0,0,0,123
19,0.99,0.48,0.65,177
20,0,0,0,56
21,0.97,0.63,0.76,264
22,0,0,0,56
23,0,0,0,55
24,0,0,0,57
25,0,0,0,133
26,0.97,0.99,0.98,538
27,0,0,0,29
28,1,0.51,0.68,88
29,0,0,0,80
30,0,0,0,112
32,1,0.03,0.06,98
33,0.33,0,0.01,202
34,0,0,0,50
35,0,0,0,89
36,0,0,0,70
37,0.45,0.84,0.59,294
38,0.75,0.02,0.04,141
39,0.99,0.71,0.83,257
40,0,0,0,50
41,0,0,0,125
42,1,0.09,0.17,108
43,1,0.01,0.01,151
44,0,0,0,51
45,1,0.12,0.21,294
46,1,0.19,0.31,75
48,0.97,0.57,0.72,220
50,0,0,0,100
,,,,
accuracy,,,0.37,6442
macro+AC0-avg,0.3,0.14,0.15,6442
weighted+AC0-avg,0.47,0.37,0.3,6442
