class,precision,recall,f1+AC0-score,support
1,0,0,0,119
2,0,0,0,44
3,0,0,0,29
4,0,0,0,193
6,0,0,0,38
8,0.14,1,0.25,848
9,0,0,0,130
10,0,0,0,96
11,0,0,0,48
12,0,0,0,69
13,0,0,0,55
14,0,0,0,343
15,0,0,0,186
16,0,0,0,16
17,0,0,0,85
18,0,0,0,123
19,1,0.01,0.02,177
20,0,0,0,56
21,0,0,0,264
22,0,0,0,56
23,0,0,0,55
24,0,0,0,57
25,0,0,0,133
26,1,0.77,0.87,538
27,0,0,0,29
28,0,0,0,88
29,0,0,0,80
30,0,0,0,112
32,0,0,0,98
33,0,0,0,202
34,0,0,0,50
35,0,0,0,89
36,0,0,0,70
37,0,0,0,294
38,0,0,0,141
39,0,0,0,257
40,0,0,0,50
41,0,0,0,125
42,0,0,0,108
43,0,0,0,151
44,0,0,0,51
45,0,0,0,294
46,0,0,0,75
48,0,0,0,220
50,0,0,0,100
,,,,
accuracy,,,0.2,6442
macro+AC0-avg,0.05,0.04,0.03,6442
weighted+AC0-avg,0.13,0.2,0.11,6442
